primary_label,inat_taxon_id,scientific_name,common_name,class_name
pirfly1,17312,Legatus leucophaius,Piratic Flycatcher,Aves
plasla1,73493,Thamnophilus pelzelni,Planalto Slaty Antshrike,Aves
platyr1,16344,Inezia inornata,Plain Inezia,Aves
plcjay1,8484,Cyanocorax chrysops,Plush-crested Jay,Aves
pluibi1,3768,Theristicus caerulescens,Plumbeous Ibis,Aves
purjay1,8483,Cyanocorax cyanomelas,Purplish Jay,Aves
pvttyr1,16273,Hemitriccus margaritaceiventer,Pearly-vented Tody-Tyrant,Aves
ragmac1,19016,Ara chloropterus,Red-and-green Macaw,Aves
rebscy1,11201,Campylorhamphus trochilirostris,Red-billed Scythebill,Aves
recfin1,10310,Coryphospingus cucullatus,Red-crested Finch,Aves
redjun,882,Gallus gallus,Red Junglefowl,Aves
relser1,14,Cariama cristata,Red-legged Seriema,Aves
rinkin1,2552,Megaceryle torquata,Ringed Kingfisher,Aves
rivwar1,145267,Myiothlypis rivularis,Riverbank Warbler,Aves
roahaw,201041,Rupornis magnirostris,Roadside Hawk,Aves
rubthr1,12738,Turdus rufiventris,Rufous-bellied Thrush,Aves
rufcac2,11718,Pseudoseisura unirufa,Rufous Cacholote,Aves
rufcas2,17102,Casiornis rufus,Rufous Casiornis,Aves
rufgna3,578313,Conopophaga lineata,Rufous Gnateater,Aves
rufhor2,11275,Furnarius rufus,Rufous Hornero,Aves
rufnig1,201066,Antrostomus rufus,Rufous Nightjar,Aves
ruftho1,11624,Phacellodomus rufifrons,Rufous-fronted Thornbird,Aves
ruftof1,17026,Poecilotriccus latirostris,Rusty-fronted Tody-Flycatcher,Aves
rumfly1,16833,Myiozetetes cayanensis,Rusty-margined Flycatcher,Aves
ruther1,5048,Tigrisoma lineatum,Rufescent Tiger Heron,Aves
rutjac1,1468,Galbula ruficauda,Rufous-tailed Jacamar,Aves
sabspa1,10064,Arremon flavirostris,Saffron-billed Sparrow,Aves
saffin,9864,Sicalis flaveola,Saffron Finch,Aves
saytan1,10293,Thraupis sayaca,Sayaca Tanager,Aves
scadov1,3564,Columbina squammata,Scaled Dove,Aves
schpar1,19094,Pionus maximiliani,Scaly-headed Parrot,Aves
scther1,5622,Phaethornis eurynome,Scale-throated Hermit,Aves
shcfly1,16006,Myiarchus ferox,Short-crested Flycatcher,Aves
shshaw,5097,Accipiter striatus,Sharp-shinned Hawk,Aves
shtnig1,19645,Lurocalis semitorquatus,Short-tailed Nighthawk,Aves
sibtan2,10056,Ramphocelus carbo,Silver-beaked Tanager,Aves
smbani,1971,Crotophaga ani,Smooth-billed Ani,Aves
smbtin1,20570,Crypturellus parvirostris,Small-billed Tinamou,Aves
sobcac1,10365,Cacicus solitarius,Solitary Cacique,Aves
sobtyr1,16972,Camptostoma obsoletum,Southern Beardless Tyrannulet,Aves
socfly1,16842,Myiozetetes similis,Social Flycatcher,Aves
sofspi1,10996,Synallaxis frontalis,Sooty-fronted Spinetail,Aves
souant1,17264,Corythopis delalandi,Southern Antpipit,Aves
soulap1,4867,Vanellus chilensis,Southern Lapwing,Aves
souscr1,6910,Chauna torquata,Southern Screamer,Aves
spbant3,15959,Hypoedaleus guttatus,Spot-backed Antshrike,Aves
spispi1,10915,Synallaxis spixi,Spix's Spinetail,Aves
sptnig1,1584760,Antiurus maculicaudus,Spot-tailed Nightjar,Aves
squcuc1,1758,Piaya cayana,Common Squirrel-Cuckoo,Aves
stbwoo2,72806,Dendroplex picus,Straight-billed Woodcreeper,Aves
strcuc1,1989,Tapera naevia,Striped Cuckoo,Aves
strher2,62528,Butorides striata,Striated Heron,Aves
strowl1,558468,Asio clamator,Striped Owl,Aves
swthum1,6065,Eupetomena macroura,Swallow-tailed Hummingbird,Aves
swtman1,14306,Chiroxiphia caudata,Swallow-tailed Manakin,Aves
tattin1,20587,Crypturellus tataupa,Tataupa Tinamou,Aves
thlwre1,7480,Campylorhynchus turdinus,Thrush-like Wren,Aves
toctou1,18793,Ramphastos toco,Toco Toucan,Aves
trokin,16787,Tyrannus melancholicus,Tropical Kingbird,Aves
trsowl,19788,Megascops choliba,Tropical Screech Owl,Aves
undtin1,20592,Crypturellus undulatus,Undulated Tinamou,Aves
varant1,15757,Thamnophilus caerulescens,Variable Antshrike,Aves
watjac1,4580,Jacana jacana,Wattled Jacana,Aves
wesfie1,1286886,Pyriglena maura,Western Fire-eye,Aves
wfwduc1,6898,Dendrocygna viduata,White-faced Whistling Duck,Aves
whbant2,15902,Biatas nigropectus,White-bearded Antshrike,Aves
whbwar2,201224,Myiothlypis leucoblephara,White-browed Warbler,Aves
whiwoo1,18183,Melanerpes candidus,White Woodpecker,Aves
whlspi1,10992,Synallaxis albilora,White-lored Spinetail,Aves
whnjay1,8469,Cyanocorax cyanopogon,White-naped Jay,Aves
whtdov,3280,Leptotila verreauxi,White-tipped Dove,Aves
whwpic1,17786,Picumnus albosquamatus,White-wedged Piculet,Aves
y00678,4715,Caracara plancus,Crested Caracara,Aves
yebcar,10257,Paroaria capitata,Yellow-billed Cardinal,Aves
yebela1,16714,Elaenia flavogaster,Yellow-bellied Elaenia,Aves
yecmac,73272,Primolius auricollis,Golden-collared Macaw,Aves
yecpar,19215,Brotogeris chiriri,Yellow-chevroned Parakeet,Aves
yehcar1,1432779,Daptrius chimachima,Yellow-headed Caracara,Aves
yeofly1,16567,Tolmomyias sulphurescens,Yellow-olive Flatbill,Aves
